Current Time (ns), Interval (ns)
1780070273831565750, 1039893
1780070273832564607, 998857
1780070273833563994, 999387
1780070273834564103, 1000109
1780070273835564242, 1000139
1780070273836564010, 999768
1780070273837563698, 999688
1780070273838563326, 999628
1780070273839563415, 1000089
1780070273840563273, 999858
1780070273841563332, 1000059
1780070273842561788, 998456
1780070273843564301, 1002513
1780070273844564059, 999758
1780070273845563867, 999808
1780070273846563445, 999578
1780070273847559536, 996091
1780070273848563452, 1003916
1780070273849565645, 1002193
1780070273850566094, 1000449
1780070273851565151, 999057
1780070273852561382, 996231
1780070273853563205, 1001823
1780070273854565818, 1002613
1780070273855558533, 992715
1780070273856561327, 1002794
1780070273857562908, 1001581
1780070273858566263, 1003355
1780070273859565120, 998857
1780070273860571690, 1006570
1780070273861564666, 992976
1780070273862564184, 999518
1780070273863566116, 1001932
1780070273864565854, 999738
1780070273865565943, 1000089
1780070273866565380, 999437
1780070273867565930, 1000550
1780070273868565377, 999447
1780070273869565747, 1000370
1780070273870565635, 999888
1780070273871565503, 999868
1780070273872565422, 999919
1780070273873565530, 1000108
1780070273874565820, 1000290
1780070273875565538, 999718
1780070273876565436, 999898
1780070273877565184, 999748
1780070273878564842, 999658
1780070273879565822, 1000980
1780070273880564849, 999027
1780070273882684761, 2119912
1780070273882825514, 140753
1780070273883570225, 744711
1780070273884571616, 1001391
1780070273885584449, 1012833
1780070273886569259, 984810
1780070273887566883, 997624
1780070273888561331, 994448
1780070273889564837, 1003506
1780070273890564334, 999497
1780070273891564493, 1000159
1780070273892563690, 999197
1780070273893563238, 999548
1780070273894564439, 1001201
1780070273895563866, 999427
1780070273896563354, 999488
1780070273897562601, 999247
1780070273898564303, 1001702
1780070273899576878, 1012575
1780070273900564463, 987585
1780070273901565313, 1000850
1780070273902565372, 1000059
1780070273903567595, 1002223
1780070273904565910, 998315
1780070273905567562, 1001652
1780070273906566529, 998967
1780070273907568070, 1001541
1780070273908566556, 998486
1780070273909568077, 1001521
