Current Time (ns), Interval (ns)
1780296650238445418, 999882
1780296650239448696, 1003278
1780296650240445908, 997212
1780296650241445441, 999533
1780296650242447412, 1001971
1780296650243451135, 1003723
1780296650244446094, 994959
1780296650245544860, 1098766
1780296650246448663, 903803
1780296650247453650, 1004987
1780296650248449781, 996131
1780296650249448975, 999194
1780296650250462635, 1013660
1780296650251380765, 918130
1780296650252448764, 1067999
1780296650253445447, 996683
1780296650254451920, 1006473
1780296650255448666, 996746
1780296650256456902, 1008236
1780296650257447099, 990197
1780296650258447185, 1000086
1780296650259449016, 1001831
1780296650260449023, 1000007
1780296650261448754, 999731
1780296650262448055, 999301
1780296650263454195, 1006140
1780296650264449348, 995153
1780296650265446094, 996746
1780296650266447802, 1001708
1780296650267446082, 998280
1780296650268449348, 1003266
1780296650269447056, 997708
1780296650270445007, 997951
1780296650271449127, 1004120
1780296650272450423, 1001296
1780296650273446881, 996458
1780296650274446684, 999803
1780296650275448785, 1002101
1780296650276448833, 1000048
1780296650277451453, 1002620
1780296650278448666, 997213
1780296650279453743, 1005077
1780296650280448891, 995148
1780296650281447568, 998677
1780296650282449284, 1001716
1780296650283448055, 998771
1780296650284446192, 998137
1780296650285595917, 1149725
1780296650286445899, 849982
1780296650287449344, 1003445
1780296650288449916, 1000572
1780296650289451534, 1001618
1780296650290448888, 997354
1780296650291448594, 999706
1780296650292448120, 999526
1780296650293451666, 1003546
1780296650294448947, 997281
1780296650295453578, 1004631
1780296650296448645, 995067
1780296650297448616, 999971
1780296650298446592, 997976
1780296650299451734, 1005142
1780296650300429762, 978028
1780296650301418689, 988927
1780296650302416836, 998147
1780296650303417771, 1000935
1780296650304421539, 1003768
1780296650305419215, 997676
1780296650306418248, 999033
1780296650307433236, 1014988
1780296650308417454, 984218
1780296650309419179, 1001725
1780296650310417076, 997897
1780296650311459118, 1042042
1780296650312418094, 958976
1780296650313419327, 1001233
1780296650314421516, 1002189
1780296650315418426, 996910
1780296650316420073, 1001647
1780296650317433967, 1013894
1780296650318444078, 1010111
1780296650319449481, 1005403
1780296650320451842, 1002361
1780296650321445448, 993606
1780296650322446646, 1001198
1780296650323447389, 1000743
1780296650324447817, 1000428
1780296650325450087, 1002270
1780296650326430505, 980418
1780296650327456334, 1025829
1780296650328447615, 991281
1780296650329454000, 1006385
1780296650330452683, 998683
1780296650331449243, 996560
1780296650332453322, 1004079
1780296650333437749, 984427
1780296650334449123, 1011374
1780296650335448511, 999388
1780296650336450492, 1001981
1780296650337445112, 994620
1780296650338447233, 1002121
1780296650339447528, 1000295
1780296650340449370, 1001842
1780296650341449938, 1000568
1780296650342447250, 997312
1780296650343451542, 1004292
1780296650344447792, 996250
1780296650345590138, 1142346
1780296650346452268, 862130
1780296650347448626, 996358
1780296650348450324, 1001698
1780296650349446837, 996513
1780296650350445400, 998563
1780296650351448549, 1003149
1780296650352448339, 999790
1780296650353449822, 1001483
1780296650354448691, 998869
1780296650355450169, 1001478
1780296650356447544, 997375
1780296650357448748, 1001204
1780296650358447235, 998487
1780296650359451411, 1004176
1780296650360449470, 998059
1780296650361451505, 1002035
1780296650362452336, 1000831
1780296650363447178, 994842
1780296650364448847, 1001669
1780296650365595197, 1146350
1780296650366448739, 853542
1780296650367447843, 999104
1780296650368453781, 1005938
1780296650369449414, 995633
1780296650370449117, 999703
1780296650371449953, 1000836
1780296650372446803, 996850
1780296650373448556, 1001753
1780296650374446390, 997834
1780296650375446393, 1000003
1780296650376449473, 1003080
1780296650377451239, 1001766
1780296650378451743, 1000504
1780296650379447938, 996195
1780296650380449896, 1001958
1780296650381453061, 1003165
1780296650382452038, 998977
1780296650383447563, 995525
1780296650384454021, 1006458
1780296650385448952, 994931
1780296650386446504, 997552
1780296650387449453, 1002949
1780296650388448468, 999015
1780296650389453987, 1005519
1780296650390451843, 997856
1780296650391597286, 1145443
1780296650392447474, 850188
1780296650393595389, 1147915
1780296650394451138, 855749
1780296650395448336, 997198
1780296650396601269, 1152933
1780296650397447107, 845838
1780296650398450109, 1003002
1780296650399446055, 995946
1780296650400438710, 992655
1780296650401595249, 1156539
1780296650402449270, 854021
1780296650403448821, 999551
1780296650404449354, 1000533
1780296650405452531, 1003177
1780296650406449392, 996861
1780296650407446900, 997508
1780296650408448073, 1001173
1780296650409448021, 999948
1780296650410451295, 1003274
1780296650411445640, 994345
1780296650412448463, 1002823
1780296650413448618, 1000155
1780296650414450568, 1001950
1780296650415448564, 997996
1780296650416449585, 1001021
1780296650417432873, 983288
1780296650418445433, 1012560
1780296650419453432, 1007999
1780296650420448177, 994745
1780296650421453819, 1005642
1780296650422448306, 994487
1780296650423446230, 997924
1780296650424446468, 1000238
1780296650425600999, 1154531
1780296650426450516, 849517
1780296650427449639, 999123
1780296650428449208, 999569
1780296650429441221, 992013
1780296650430449566, 1008345
1780296650431449472, 999906
1780296650432452140, 1002668
1780296650433444878, 992738
1780296650434448154, 1003276
1780296650435448182, 1000028
1780296650436448320, 1000138
1780296650437451903, 1003583
1780296650438449546, 997643
1780296650439444046, 994500
1780296650440446923, 1002877
1780296650441594099, 1147176
1780296650442449936, 855837
1780296650443447255, 997319
1780296650444447680, 1000425
1780296650445445591, 997911
1780296650446447846, 1002255
1780296650447449287, 1001441
1780296650448446817, 997530
1780296650449449465, 1002648
1780296650450448073, 998608
1780296650451453005, 1004932
1780296650452445745, 992740
1780296650453590218, 1144473
1780296650454446123, 855905
1780296650455434167, 988044
1780296650456447313, 1013146
1780296650457454126, 1006813
1780296650458449526, 995400
1780296650459449312, 999786
1780296650460446297, 996985
1780296650461447840, 1001543
1780296650462447780, 999940
1780296650463448869, 1001089
1780296650464446521, 997652
1780296650465448695, 1002174
1780296650466445495, 996800
1780296650467453024, 1007529
1780296650468449401, 996377
1780296650469450223, 1000822
1780296650470453300, 1003077
1780296650471448623, 995323
1780296650472448264, 999641
1780296650473601375, 1153111
1780296650474449500, 848125
1780296650475444948, 995448
1780296650476449641, 1004693
1780296650477448917, 999276
1780296650478448991, 1000074
1780296650479447521, 998530
1780296650480444299, 996778
1780296650481492506, 1048207
1780296650482451996, 959490
1780296650483451886, 999890
1780296650484448021, 996135
1780296650485452188, 1004167
1780296650486448995, 996807
1780296650487444146, 995151
1780296650488445822, 1001676
1780296650489452948, 1007126
1780296650490449721, 996773
1780296650491449019, 999298
1780296650492449389, 1000370
1780296650493448730, 999341
1780296650494451738, 1003008
1780296650495446718, 994980
1780296650496438086, 991368
1780296650497578052, 1139966
1780296650498447888, 869836
1780296650499451166, 1003278
1780296650500432854, 981688
1780296650501602825, 1169971
1780296650502445458, 842633
1780296650503451169, 1005711
1780296650504449186, 998017
1780296650505453345, 1004159
1780296650506460556, 1007211
1780296650507446680, 986124
1780296650508449055, 1002375
1780296650509446186, 997131
1780296650510451345, 1005159
1780296650511448868, 997523
1780296650512446570, 997702
1780296650513598395, 1151825
1780296650514448589, 850194
1780296650515451037, 1002448
1780296650516445833, 994796
1780296650517433689, 987856
1780296650518446624, 1012935
1780296650519450455, 1003831
1780296650520448780, 998325
1780296650521452892, 1004112
1780296650522445355, 992463
1780296650523448805, 1003450
1780296650524432675, 983870
1780296650525447069, 1014394
1780296650526395510, 948441
1780296650527448992, 1053482
1780296650528443955, 994963
1780296650529449316, 1005361
1780296650530451484, 1002168
1780296650531428444, 976960
1780296650532449748, 1021304
1780296650533438808, 989060
1780296650534449582, 1010774
1780296650535450215, 1000633
1780296650536446975, 996760
1780296650537448151, 1001176
1780296650538449350, 1001199
1780296650539448832, 999482
1780296650540445718, 996886
1780296650541446794, 1001076
1780296650542450120, 1003326
1780296650543446085, 995965
1780296650544446218, 1000133
1780296650545448552, 1002334
1780296650546451245, 1002693
1780296650547450065, 998820
1780296650548447568, 997503
1780296650549446692, 999124
1780296650550447089, 1000397
1780296650551450252, 1003163
1780296650552449505, 999253
1780296650553445471, 995966
1780296650554448790, 1003319
1780296650555451667, 1002877
1780296650556447627, 995960
1780296650557449316, 1001689
1780296650558452932, 1003616
1780296650559447962, 995030
1780296650560443582, 995620
1780296650561448421, 1004839
1780296650562447579, 999158
1780296650563449740, 1002161
1780296650564448377, 998637
1780296650565450186, 1001809
1780296650566447358, 997172
1780296650567447621, 1000263
1780296650568448610, 1000989
1780296650569451766, 1003156
1780296650570449346, 997580
1780296650571448791, 999445
1780296650572452232, 1003441
1780296650573447311, 995079
